Number,BindingScore,Std,Library
0001,-3.2,0.0,ZINC15_fda
0002,-3.1,0.0,ZINC15_fda
0003,-3.1,0.0,ZINC15_fda
0004,-5.233,0.125,ZINC15_fda
0005,-5.267,0.094,ZINC15_fda
0006,-5.8,0.0,ZINC15_fda
0007,-4.433,0.094,ZINC15_fda
0008,-5.4,0.0,ZINC15_fda
0009,-5.4,0.0,ZINC15_fda
0010,-7.167,0.047,ZINC15_fda
0011,-3.967,0.047,ZINC15_fda
0012,-4.0,0.0,ZINC15_fda
0013,-6.3,0.163,ZINC15_fda
0014,-3.967,0.047,ZINC15_fda
0015,-3.9,0.0,ZINC15_fda
0016,-5.733,0.094,ZINC15_fda
0017,-5.8,0.0,ZINC15_fda
0018,-5.967,0.189,ZINC15_fda
0019,-5.067,0.047,ZINC15_fda
0020,-5.2,0.082,ZINC15_fda
